frequency_Hz,modulationDepth_M
98.68421053,99.5398773
98.68421053,96.16564417
103.6184211,92.63803681
108.5526316,89.87730061
113.4868421,87.26993865
113.4868421,84.50920245
118.4210526,82.05521472
123.3552632,79.29447853
133.2236842,75.4601227
138.1578947,72.6993865
143.0921053,69.78527607
148.0263158,67.17791411
152.9605263,63.95705521
162.8289474,61.50306748
162.8289474,59.04907975
172.6973684,56.44171779
177.6315789,53.6809816
182.5657895,50.76687117
187.5,48.00613497
197.3684211,45.09202454
207.2368421,42.48466258
222.0394737,39.87730061
236.8421053,37.73006135
266.4473684,35.27607362
300.9868421,32.51533742
340.4605263,30.36809816
379.9342105,28.52760736
429.2763158,27.3006135
488.4868421,26.53374233
537.8289474,25.9202454
606.9078947,25.30674847
661.1842105,25.15337423
730.2631579,25.15337423
794.4078947,25.15337423
863.4868421,25.4601227
937.5,25.76687117
1016.447368,26.22699387
1090.460526,26.8404908
1164.473684,27.45398773
1243.421053,28.2208589
1337.171053,29.14110429
1430.921053,30.21472393
1519.736842,30.98159509
1598.684211,31.90184049
1672.697368,32.66871166
1741.776316,33.58895706
1820.723684,34.50920245
1889.802632,35.58282209
1958.881579,36.34969325
2032.894737,37.26993865
2087.171053,38.03680982
2141.447368,38.95705521
2200.657895,39.87730061
2269.736842,40.79754601
2338.815789,41.71779141
2432.565789,43.09815951
2521.381579,44.63190184
2615.131579,46.01226994
2703.947368,47.54601227
2792.763158,48.92638037
2876.644737,50.61349693
2965.460526,52.14723926
3054.276316,53.52760736
3148.026316,55.36809816
3266.447368,57.51533742
3394.736842,60.12269939
3488.486842,61.80981595
3582.236842,63.65030675
3690.789474,65.79754601
3789.473684,68.25153374
3893.092105,70.09202454
3986.842105,72.39263804
4090.460526,74.69325153
4179.276316,76.53374233
4263.157895,78.52760736
4347.039474,80.52147239
4430.921053,82.51533742
4509.868421,84.35582822
4578.947368,86.04294479
4662.828947,88.03680982
4751.644737,90.49079755
4850.328947,92.79141104
4939.144737,95.24539877
5008.223684,96.93251534
5082.236842,98.92638037
